 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100000	Centrala                                                                                                                                    	NBP WOC C-la   	Warszawa                      	ul.—wi©tokrzyska 11/21                  	00-919	Warszawa                      	1011  	-     	22          	653-10-00           	826-63-07           	826-41-23           	                    	1945-01-15	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100039	Centrala - Departament Systemu Patniczego                                                                                                  	NBP C-inne     	Warszawa                      	ul.—wi©tokrzyska 11/21                  	00-919	Warszawa                      	1011  	      	22          	620-83-38           	                    	185-10-39           	                    	1993-04-05	           	           	www.nbp.pl                                        	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100055	Centrala - B2B Collect                                                                                                                      	NBP C-inne     	Warszawa                      	ul.—wi©tokrzyska 11/21                  	00-919	Warszawa                      	-     	-     	22          	653-10-00           	826-63-07           	826-41-23           	                    	2008-04-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100068	Centrala - NBPCollect                                                                                                                       	NBP C-inne     	Warszawa                      	ul.—wi©tokrzyska 11/21                  	00-919	Warszawa                      	-     	-     	22          	653-10-00           	826-63-07           	826-41-23           	                    	2008-10-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101010	O/Okr. w Warszawie                                                                                                                          	NBP O/Okr.     	Warszawa                      	pl.Powstaäc˘w Warszawy 4                	00-950	Warszawa                      	1017  	-     	22          	620-80-79           	620-74-12           	620-65-06           	826-00-76           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101023	O/Okr. w Warszawie - Rozliczenia ZUS                                                                                                        	NBP O.         	Warszawa                      	ul.—wi©tokrzyska 11/21                  	00-919	Warszawa                      	1011  	-     	22          	185-20-30           	                    	185-23-09           	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101049	O/Okr. w Biaymstoku                                                                                                                        	NBP O/Okr.     	Biaystok                     	ul.Pi©kna 1                             	15-282	Biaystok                     	2     	-     	85          	747-99-99           	742-39-26           	742-51-94           	742-30-10           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	podlaskie             	Biaystok                	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101078	O/Okr. w Bydgoszczy                                                                                                                         	NBP O/Okr.     	Bydgoszcz                     	ul.Jagielloäska 8                       	85-950	Bydgoszcz                     	48    	-     	52          	326-82-00           	326-82-72           	326-83-09           	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	kujawsko-pomorskie    	Bydgoszcz                	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101140	O/Okr. w Gdaäsku                                                                                                                            	NBP O/Okr.     	Gdaäsk                        	ul.Okopowa 1                            	80-958	Gdaäsk                        	-     	-     	58          	301-48-31           	301-31-85           	300-25-08           	301-87-53           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	pomorskie             	Gdaäsk                   	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101212	O/Okr. w Katowicach                                                                                                                         	NBP O/Okr.     	Katowice                      	ul.Bankowa 1                            	40-007	Katowice                      	143   	40-950	32          	357-61-00           	357-43-00           	357-61-60           	357-61-51           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	lĄskie               	Katowice                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101238	O/Okr. w Kielcach                                                                                                                           	NBP O/Okr.     	Kielce                        	ul.Warszawska 46                        	25-531	Kielce                        	661   	-     	41          	364-51-27           	364-51-00           	344-65-60           	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	wi©tokrzyskie        	Kielce                   	                              	                                        	      	                              	      	      	  0	10100000
